Provincia,codigo,Nombre Centro
Córdoba,14002923C,I.E.S. Maimónides
Córdoba,14002960C,I.E.S. Luis de Góngora
Córdoba,14002972C,I.E.S. Séneca
Córdoba,14002984C,I.E.S. Averroes
Córdoba,14002996C,I.E.S. López Neyra
Córdoba,14003198C,E.A.S.D. Mateo Inurria
Córdoba,14004555C,I.E.S. Casiana Muñoz Tuñón
Córdoba,14004889C,I.E.S. Zoco
Córdoba,14007180C,I.E.S. Blas Infante
Córdoba,14007374C,I.E.S. La Fuensanta
Córdoba,14007647C,E.A. Dionisio Ortiz
Córdoba,14007659C,I.E.S. Galileo Galilei
Córdoba,14007945C,I.E.S. Trassierra
Córdoba,14008056C,I.E.S. San Álvaro
Córdoba,14700018C,I.P.E.P. Córdoba
Córdoba,14700067C,I.E.S. Alhaken II
Córdoba,14700079C,I.E.S. Gran Capitán
Córdoba,14700146C,I.E.S. Fidiana
Córdoba,14700161C,I.E.S. Medina Azahara
Córdoba,14700286C,I.E.S. Ángel de Saavedra
Córdoba,14700535C,I.E.S. Santa Rosa de Lima
Córdoba,14700559C,I.E.S. Santa Catalina de Siena
Córdoba,14700730C,I.E.S. Grupo Cántico
Córdoba,14700560C,I.E.S. Mencía López de Haro
Córdoba,14700572C,I.E.S. San Roque
Córdoba,14700523C,I.E.S. Garci Méndez
Córdoba,14700675C,I.E.S. Cecilio Jiménez
Córdoba,14700742C,I.E.S. Pay Arias
Córdoba,14003551C,I.E.S. Francisco de los Ríos
Córdoba,14700365C,I.E.S. Miguel Crespo
Córdoba,14003708C,I.E.S. Lope de Vega
Córdoba,14700304C,I.E.S. Colonial
Córdoba,14004099C,I.E.S. Jerez y Caballero (CdA)
Córdoba,14004105C,I.E.S. Padre Juan Ruiz
Córdoba,14700353C,I.E.S. Duque de Rivas
Córdoba,14700584C,I.E.S. Mirador del Genil
Córdoba,14000321C,I.E.S. El Sauce
Córdoba,14700298C,I.E.S. Nuevas Poblaciones
Córdoba,14006345C,I.E.S. Profesor Tierno Galván
Córdoba,14000331C,I.E.S. Clara Campoamor
Córdoba,14004580C,I.E.S. Marqués de Comares
Córdoba,14005882C,I.E.S. Sierra de Aras
Córdoba,14007404C,I.E.S. Juan de Aréjula
Córdoba,14700420C,I.E.S. Miguel de Cervantes
Córdoba,14700602C,I.E.S. Albenzaide
Córdoba,14700781C,I.E.S. Maestro Eloy Vaquero
Córdoba,14700614C,I.E.S. Ulia Fidentia
Córdoba,14004828C,I.E.S. Emilio Canalejo Olmeda
Córdoba,14004841C,I.E.S. Inca Garcilaso
Córdoba,14004971C,I.E.S. Antonio Galán Acosta
Córdoba,14004981C,I.E.S. Santos Isasa
Córdoba,14700626C,I.E.S. Las Viñas
Córdoba,14700638C,I.E.S. Cumbres Altas
Córdoba,14005298C,I.E.S. Antonio Gala
